"address","in","ratio","currentHoldings","lastHoldings","lastWeekPayout","dif","cre8rPrice","basicBribe","out","bogusestBribe","basicBoost","boostedBribe","boostedBonus","payoutUSD","payoutCre8r"
"0x28aa4F9ffe21365473B64C161b566C3CdeAD0108","",0.26081791411049254,2129257.7560533397,1464727.4311323252,66218.40133,598311.9235910145,0.0158,2438.3729340787913,"",0,0,3047.966167598489,3291.8034610063687,3047.966167598489,192909.2511138284
"0x69cD1C2E13113C09a22Ff98cBd2dB3f682f716B4","",0.04351460510262596,0,0,0,0,0.0158,406.81574991210107,"",203.40787495605053,0,508.51968739012636,0,203.40787495605053,12873.916136458893
"0xA5d896AcCC301fcaA21f03592269310e7444AA40","",0.17173616293583516,762909.9560272843,646779.050463127,49158.67566,66972.22990415734,0.0158,1605.5523368992367,"",0,0,2006.9404211240458,0,2006.9404211240458,127021.54564076237
"0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d","",0.10001617927077329,341078.4653804157,301725.1758871949,27031.85162,12321.437873220828,0.0158,935.0459892126513,"",0,0,1168.8074865158142,0,1168.8074865158142,73975.15737441862
"0xE221D5371EF7334a76aAC4f70b94DD80d1C18a00","",0.09894071756846981,373194.81772688334,287132.6824461512,31384.49833,54677.63695073215,0.0158,924.9915544339722,"",0,0,1156.2394430424652,0,1156.2394430424652,73179.71158496613
"0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22","",0.09121667402245313,156371.7471961385,266403.9535644959,23116.13598,-133148.34234835743,0.0158,852.779878374504,"",426.389939187252,0,0,0,426.389939187252,26986.70501185139
"0xc6D3594E3605eeC43ecb479F552F7d21e28C38De","",0.013264114928089503,0,0,2279.513119,-2279.513119,0.0158,124.0055114521858,"",62.0027557260929,0,0,0,62.0027557260929,3924.2250459552465
"0xD2ebe762df8B394a1297e443986BAF4F84DFBC61","",0.03696679027796094,0,0,0,0,0.0158,345.60057418203513,"",172.80028709101757,0,432.00071772754393,0,172.80028709101757,10936.72703107706
"0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0","",0.014694854324451567,0,0,0,0,0.0158,137.38141866970747,"",68.69070933485374,0,171.72677333713435,0,68.69070933485374,4347.513249041375
"0x3c5Aac016EF2F178e8699D6208796A2D67557fe2","",0.013817837568447594,737107.7674431683,559961.4728877926,4350.281057,172796.01349837566,0.0158,129.18223523605835,"",0,0,161.47779404507293,0,161.47779404507293,10220.113547156514
"0xd25cDFFC867e96aD830731F26eeD0d7EF28BE2E0","",0.0065772456589246785,0,0,1122.125636,-1122.125636,0.0158,61.49032304857303,"",30.745161524286516,0,0,0,30.745161524286516,1945.8962990054756
"0xA67D2c03c3cfe6177a60cAed0a4cfDA7C7a563e0","",0.025703783115320605,1673038.528156014,1897480.372223735,6895.211308,-231337.05537572107,0.0158,240.30331377191163,"",120.15165688595582,0,300.37914221488955,0,120.15165688595582,7604.53524594657
"0x00a01bC13a1DdF4a4Af6852baeE66b76A0316CBc","",0.005731141085876736,5051.1260196,5051.1260196,0,0,0.0158,53.58013598432721,"",0,58.938149582759934,66.975169980409,0,58.938149582759934,3730.2626318202488
"0x4815Ee939fE2efeC2f7bc415f0cE2282f6417fe9","",0.017944292894856214,12581.285279070116,10421.120356363224,1743.920897,416.244025706892,0.0158,167.76024862104944,"",0,0,209.7003107763118,0,209.7003107763118,13272.171568120999
"0x06FF56Da1bb2FE0dBf3c30E362f7eA05D5168620","",0.0028093327948819713,5903.561063182019,730.0261835103562,623.1467764,4550.388103271663,0.0158,26.264304249278343,"",0,0,32.83038031159793,35.45681073652577,32.83038031159793,2077.8721716201217
"0x7327C288F420Ff62Cc5d7d6F622e03afeCfA2D9B","",0.008317048311264818,0,0,0,0,0.0158,77.75564635879432,"",38.87782317939716,0,97.1945579484929,0,38.87782317939716,2460.62172021501
"0xf78da0B8Ae888C318e1A19415d593729A61Ac0c3","",0.011884065404388541,948479.5902766577,682900.5384978262,0,265579.0517788315,0.0158,111.10350118284833,"",0,122.21385130113318,138.8793764785604,149.98972659684526,122.21385130113318,7735.053879818554
"0xA8470d7e5052F64f87db7E5D40ca660cfe339531","",0.002798661192563523,1290.4650173199998,1290.4650173199998,0,0,0.0158,26.164536001589905,"",0,28.7809896017489,32.70567000198738,0,28.7809896017489,1821.5816203638542
"0xb79C662c667E056150d9BA0fec36217D6bB74049","",0.0020843092981422916,1907.7670573137987,93.2039264037168,1190.756886,623.8062449100819,0.0158,19.48609778654183,"",0,0,24.35762223317729,26.306232011831472,24.35762223317729,1541.6216603276764
"0x700E7D3Eb1127336DC51dE98A6D968d4c24167BB","",0.007286765577969057,0,0,0,0,0.0158,68.12358738046497,"",34.061793690232484,0,85.15448422558121,0,34.061793690232484,2155.8097272299037
"0x357fe10b0CAa97c3d6cFB9987ceFA6e919eF7D1E","",0.006804936044158371,0,0,861.3435028,-861.3435028,0.0158,63.61898846098257,"",31.809494230491286,0,0,0,31.809494230491286,2013.2591285121064
"0xE96Ad170106c087f11FC4429a0e261f750b999dF","",0.0033643316424179833,0,30808.612837399996,0,-30808.612837399996,0.0158,31.452959226801955,"",15.726479613400977,0,0,0,15.726479613400977,995.3468109747453
"0x670647441D9C24d981923C9293A2e4EAE6d0C8B3","",0.006553318076683589,0,0,0,0,0.0158,61.26662534316963,"",30.633312671584815,0,76.58328167896204,0,30.633312671584815,1938.8172576952413
"0xEd723A2650A03F02Cda44d49b789E97e08Ff995A","",0.004935488283176821,0,0,0,0,0.0158,46.14161986228851,"",23.070809931144254,0,57.677024827860635,0,23.070809931144254,1460.177843743307
