"address","in","ratio","currentHoldings","lastHoldings","lastWeekPayout","dif","cre8rPrice","basicBribe","out","bogusestBribe","basicBoost","boostedBribe","boostedBonus","payoutUSD","payoutCre8r"
"0x28aa4F9ffe21365473B64C161b566C3CdeAD0108","",0.13860835193673868,3083174.751419288,2333003.812921865,870.08315241848,749300.8553450047,0.01145,622.2831839280243,"",0,0,777.8539799100304,0,777.8539799100304,67934.84540698955
"0xA5d896AcCC301fcaA21f03592269310e7444AA40","",0.2331743945910004,885498.3092404121,780171.8121297385,1545.941848067507,103780.55526260613,0.01145,1046.8381064281145,"",0,0,1308.5476330351432,0,1308.5476330351432,114283.63607293827
"0xE221D5371EF7334a76aAC4f70b94DD80d1C18a00","",0.21039728111952669,469307.965711236,394732.84428942314,1321.7817849173605,73253.33963689551,0.01145,944.5800931578354,"",0,0,1180.7251164472943,0,1180.7251164472943,103120.09750631392
"0x821c2b462e50d0C4A333ff39071685Db52be0e51","",0.10070772348455444,88871.78368,0,171.2407538652444,88700.54292613475,0.01145,452.12804236150083,"",0,0,565.1600529518761,610.3728571880262,610.3728571880262,53307.67311685818
"0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22","",0.13155754814886714,247414.5992703306,205778.81353148315,792.5066952004497,40843.279043646995,0.01145,590.6285500689406,"",0,0,738.2856875861758,0,738.2856875861758,64479.09935250443
"0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d","",0.0012889934186503663,7078.822681873,364457.6136051119,821.9138901405129,-358200.70481337945,0.01145,5.7869451401175915,"",2.8934725700587958,0,0,0,2.8934725700587958,252.70502795273325
"0xeD4DBA0795965119D187DA57E080069Cd3415650","",0.04598363485940492,0,0,0,0,0.01145,206.44385644202802,"",103.22192822101401,0,258.05482055253503,0,103.22192822101401,9015.015565154063
"0xA67D2c03c3cfe6177a60cAed0a4cfDA7C7a563e0","",0.033055907682227235,1634496.2287821341,1681933.7200721633,230.72481787966086,-47668.21610790887,0.01145,148.40473313985785,"",0,0,185.50591642482232,0,185.50591642482232,16201.390080770509
"0x06FF56Da1bb2FE0dBf3c30E362f7eA05D5168620","",0.0031825723994770316,3162.4933899970306,22838.392838000433,0,-19675.8994480034,0.01145,14.288181470708983,"",7.144090735354491,15.716999617779882,0,0,7.144090735354491,623.9380554894752
"0x1F20f433a1D29dF807b9A32eC5eE0e65DDf68875","",0.00324116455801258,0,0,0,0,0.01145,14.551231384060218,"",7.275615692030109,0,18.189039230075274,0,7.275615692030109,635.4249512690052
"0xf78da0B8Ae888C318e1A19415d593729A61Ac0c3","",0.02046255191056061,1267451.6039302482,955919.7218802498,0,311531.8820499984,0.01145,91.86677264590624,"",0,101.05344991049687,114.8334658073828,0,114.8334658073828,10029.123651299808
"0xA8470d7e5052F64f87db7E5D40ca660cfe339531","",0.011137499454165168,7337.666427321487,2634.1122790800805,22.098752135267848,4681.455396106139,0.01145,50.00188318015439,"",0,0,62.50235397519298,67.50254229320842,67.50254229320842,5895.4185408915655
"0x3624DBD5981710a26C0AcD30d96863340b432F96","",0.009748557177647665,32638.011550199997,32638.011550199997,0,0,0.01145,43.76621693027338,"",0,48.14283862330072,54.70777116284172,0,54.70777116284172,4777.9712805975305
"0xE9E0df61B13B9795398d0e2679fC3e4A63E7c359","",0.0027563072377287377,0,0,0,0,0.01145,12.374460988905787,"",6.187230494452893,0,15.468076236132234,0,6.187230494452893,540.3694754980693
"0x3e6EdBa22D9cE22a7168406d26598AE20FE08e41","",0.002009091253289718,4253.504246038835,3110.5874473883823,15.116050564274952,1127.8007480861775,0.01145,9.019829501108827,"",0,0,11.274786876386035,12.176769826496917,12.176769826496917,1063.4733472923072
"0xC205366961df2386b9beFbE35D598d20DaE2f9Ef","",0.007710118120102987,0,0,0,0,0.01145,34.6146302527903,"",17.30731512639515,0,43.268287815987875,0,17.30731512639515,1511.5559062353843
"0xEd723A2650A03F02Cda44d49b789E97e08Ff995A","",0.006373064318589796,8436.0797794,0,16.254885433604066,8419.824893966395,0.01145,28.611917681267652,"",0,0,35.764897101584566,38.62608886971133,38.62608886971133,3373.4575432062297
"0xd4cffd1Db38d276a412917CCC5B3460ea309F10C","",0.00557299092365116,607.3781858470501,571.5931394441753,0,35.78504640287474,0.01145,25.01998247230024,"",0,27.521980719530266,31.2749780903753,0,31.2749780903753,2731.439134530594
"0x212f7d290dd23d0Df08e9f9959758ed4Eb6705E9","",0.00542123958254707,78485.3344822613,78485.3344822613,0,0,0.01145,24.33869374483092,"",0,26.772563119314015,30.42336718103865,0,30.42336718103865,2657.062635898572
"0xf38b07B8ac72Ad70806E902c2ecFb7EdD36cA3f5","",0.0038613573870743996,16670.535970720168,15006.406184296198,26.591288080591024,1637.5384983433778,0.01145,17.335591510454766,"",0,0,21.669489388068456,0,21.669489388068456,1892.5318242854546
"0xE7026eaD5Ce701558Bdd20B85aD0F4A8C47F09e2","",0.0018515796757681243,5982.828967089591,5642.78601265752,0,340.0429544320714,0.01145,8.312680151187992,"",0,9.143948166306792,10.39085018898499,0,10.39085018898499,907.4978330991257
"0x15934ee48322C5BCfafbc0B26Da5deFFf8564b9C","",0.0007176623191738571,0,0,0,0,0.01145,3.221950096950165,"",1.6109750484750824,0,4.0274376211877065,0,1.6109750484750824,140.69651078385
"0x6410BAC85BA91F23E7fd31a3994048EA2486f063","",0.002244235841882123,12652.700882139998,12652.700882139998,0,0,0.01145,10.075512807548478,"",0,11.083064088303326,12.594391009435597,0,12.594391009435597,1099.9468130511439
