"address","in","ratio","currentHoldings","lastHoldings","lastWeekPayoutInCRE8R","dif","cre8rPrice","basicBribe","out","bogusestBribe","basicBoost","boostedBribe","boostedBonus","boostedBonanza","payoutUSD","payoutCre8r","payoutCre8rInUSD","basicBoost2AmpInUSD","boostedBonus2AmpInUSD"
"0x69cD1C2E13113C09a22Ff98cBd2dB3f682f716B4","",0.06128141630912121,0,0,0,0,0.00663,118.08768745129088,"",59.04384372564544,0,0,0,0,59.04384372564544,8905.557123023445,59.04384372564544,0,0
"0xE221D5371EF7334a76aAC4f70b94DD80d1C18a00","",0.21223065776063002,796956.3771280546,722362.5455758066,78153.27865115911,-3559.447098911158,0.00663,408.96293021036007,"",0,0,511.2036627629501,0,0,511.2036627629501,77104.6248511237,511.2036627629501,449.85922323139613,0
"0xA5d896AcCC301fcaA21f03592269310e7444AA40","",0.20528996506901925,1392743.576321596,1287908.6645275035,89921.59121669039,14913.320577402133,0.00663,395.5883968097605,"",0,0,494.48549601220066,0,0,494.48549601220066,74583.03107273011,494.48549601220066,435.1472364907366,0
"0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d","",0.19724363666612274,9642.893253582413,1414.3183345008879,287.6704091959304,7940.904509885595,0.00663,380.0833322926687,"",0,0,475.10416536583585,513.1124985951027,0,513.1124985951027,77392.53372475154,513.1124985951027,418.09166552193557,9.59217448894408
"0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22","",0.1527617201295922,455934.5552913444,395269.52646353614,54268.01569016824,6397.013137640024,0.00663,294.3678417970876,"",0,0,367.95980224635946,0,0,367.95980224635946,55499.216025091926,367.95980224635946,323.8046259767964,0
"0xeD4DBA0795965119D187DA57E080069Cd3415650","",0.08850476846111066,0,0,32445.444187659912,-32445.444187659912,0.00663,170.54637548298496,"",85.27318774149248,0,0,0,0,213.1829693537312,32154.294020170622,213.1829693537312,0,0
"0xc6D3594E3605eeC43ecb479F552F7d21e28C38De","",0.016660630550050896,0,0,0,0,0.00663,32.10459959364559,"",16.052299796822794,0,0,0,0,16.052299796822794,2421.161356986847,16.052299796822794,0,0
"0xd25cDFFC867e96aD830731F26eeD0d7EF28BE2E0","",0.006596462197152781,0,0,0,0,0.00663,12.711210235291047,"",6.355605117645523,0,0,0,0,6.355605117645523,958.6131399163686,6.355605117645523,0,0
"0x1F20f433a1D29dF807b9A32eC5eE0e65DDf68875","",0.012331750244366611,625.2581520791998,625.2581520791998,0,0,0.00663,23.762960393057973,"",0,26.139256432363773,29.703700491322465,0,0,29.703700491322465,4480.196152537325,29.703700491322465,26.139256432363773,0
"0x3e6EdBa22D9cE22a7168406d26598AE20FE08e41","",0.004399696075275244,7854.297155798643,7052.4328991614875,678.0126076297257,123.85164900742984,0.00663,8.478099337603652,"",0,0,10.597624172004565,0,0,10.597624172004565,1598.4350184018951,10.597624172004565,9.325909271364019,0
"0x3624DBD5981710a26C0AcD30d96863340b432F96","",0.009957884495694654,16014.212673983997,12367.770444551998,3705.7339733894028,-59.291743957403014,0.00663,19.18858314357566,"",0,0,23.985728929469573,0,0,23.985728929469573,3617.7570029365875,23.985728929469573,21.107441457933227,0
"0xEd723A2650A03F02Cda44d49b789E97e08Ff995A","",0.006866586816471598,9214.562010407999,6750.630238655999,2503.99570289864,-40.06393114664024,0.00663,13.23173331618909,"",0,0,16.539666645236363,0,0,16.539666645236363,2494.670685556013,16.539666645236363,14.554906647808,0
"0x55E8BfE955675aF6Bbb82801653B48b1A872A52C","",0.0014734104914402944,2957.377752012122,2957.377752012122,0,0,0.00663,2.839223504936475,"",0,3.123145855430123,3.5490293811705937,0,0,3.5490293811705937,535.298549196168,3.5490293811705937,3.123145855430123,0
"0xd4cffd1Db38d276a412917CCC5B3460ea309F10C","",0.0055598534611074266,7223.029624916498,5445.405854573745,2069.0476844555096,-291.4239141127573,0.00663,10.713692295856907,"",5.3568461479284535,0,0,0,0,5.3568461479284535,807.9707613768406,5.3568461479284535,0,0
"0xf38b07B8ac72Ad70806E902c2ecFb7EdD36cA3f5","",0.0037080496935384386,2526.7222521779017,815.8441191031698,1490.309451643748,220.56868143098427,0.00663,7.145314838280724,"",0,0,8.931643547850905,0,0,8.931643547850905,1347.1558895702724,8.931643547850905,7.859846322108797,0
"0x752d5a59d9cD3ed8af87E0C8939D5d19Db168331","",0.002144378970089844,2919.355380144445,2231.4450330491686,798.0106622766536,-110.10031518137748,0.00663,4.132162225490213,"",0,0,5.165202781862766,0,0,5.165202781862766,779.0652762990599,5.165202781862766,4.545378448039235,0
"0x005b753A8E7E2a7C24030284C20f5C3574191b72","",0.0010623411082465594,8784.202050298878,8108.155707712511,395.3403494346114,280.70599315175605,0.00663,2.0471035480719726,"",0,0,2.558879435089966,0,0,2.558879435089966,385.9546659260884,2.558879435089966,2.25181390287917,0
"0xe21D06F3c6F802b07D2149ba8D120A5813288443","",0.001861778734908532,15277.719430721223,6403.715649952292,748.2711060584019,8125.73267471053,0.00663,3.587598958913344,"",0,0,4.48449869864168,4.843258594533015,0,4.843258594533015,730.5065753443463,4.843258594533015,3.946358854804679,7.342522587243999
"0xBb21D57599c984f8097292Ed6086A4cFa738837C","",0.0013732563731504244,0,0,0,0,0.00663,2.6462291368246946,"",1.3231145684123473,0,0,0,0,1.3231145684123473,199.56479161573867,1.3231145684123473,0,0
