"address","in","ratio","currentHoldings","lastHoldings","lastWeekPayoutInCRE8R","dif","cre8rPrice","basicBribe","out","bogusestBribe","basicBoost","boostedBribe","boostedBonus","boostedBonanza","payoutUSD","payoutCre8r"
"0x28aa4F9ffe21365473B64C161b566C3CdeAD0108","",0.13962822953657644,2605567.88788344,2617261.9986029607,67934.84540698955,-79628.95612651017,0.01602,581.7524568294367,"",0,0,727.1905710367959,0,0,727.1905710367959,45392.669852484134
"0xA5d896AcCC301fcaA21f03592269310e7444AA40","",0.2325422154211356,1050577.526041651,884724.4553942216,114283.63607293827,51569.43457449111,0.01602,968.8728818434802,"",0,0,1211.0911023043502,0,0,1211.0911023043502,75598.69552461612
"0xE221D5371EF7334a76aAC4f70b94DD80d1C18a00","",0.20713307833242983,574079.6939539666,469293.5922163317,103120.09750631392,1666.0042313210433,0.01602,863.0072701664493,"",0,0,1078.7590877080615,0,0,1078.7590877080615,67338.27014407376
"0x43C4fF14DAe2Fbb389Dd94498C3D610A0c69a89d","",0.15311892654113926,7353.925497462679,7055.218721824759,252.70502795273325,46.00174768518718,0.01602,637.9606186946564,"",0,0,797.4507733683206,0,0,797.4507733683206,49778.45027267919
"0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22","",0.12879330841667075,309224.5828073725,245777.14904697254,64479.09935250443,-1031.6655921044876,0.01602,536.6094223443714,"",0,0,670.7617779304643,0,0,670.7617779304643,41870.2732790552
"0xeD4DBA0795965119D187DA57E080069Cd3415650","",0.0799287439817638,0,0,9015.015565154063,-9015.015565154063,0.01602,333.0182108375264,"",166.5091054187632,0,0,0,0,166.5091054187632,10393.826805166242
"0x06FF56Da1bb2FE0dBf3c30E362f7eA05D5168620","",0.004664319452485452,3817.270890090745,3162.488948536942,623.9380554894752,30.843886064327762,0.01602,19.433600998356372,"",0,0,24.292001247945464,0,0,24.292001247945464,1516.3546347032125
"0x3e6EdBa22D9cE22a7168406d26598AE20FE08e41","",0.002303201680296708,5318.446482942901,4253.499723831458,1063.4733472923072,1.4734118191354355,0.01602,9.596148576354352,"",0,0,11.99518572044294,0,0,11.99518572044294,748.7631535857016
"0xE96Ad170106c087f11FC4429a0e261f750b999dF","",0.008236240848097114,979.4212620239998,979.4212620239998,0,0,0.01602,34.31579247493294,"",0,37.74737172242624,42.89474059366618,0,0,42.89474059366618,2677.57431920513
"0xC205366961df2386b9beFbE35D598d20DaE2f9Ef","",0.007963359638926163,1487.3710115039999,0,1511.5559062353843,-24.184894731384475,0.01602,33.17884964908265,"",0,0,41.47356206135331,0,0,41.47356206135331,2588.8615518947136
"0xd4cffd1Db38d276a412917CCC5B3460ea309F10C","",0.005511146501563218,3244.0002943605737,550.6815853413333,2731.439134530594,-38.12042551135346,0.01602,22.96185397374457,"",0,0,28.702317467180713,0,0,28.702317467180713,1791.6552726080345
"0x15070415AeFc14997346b5b72402b6A1232B4F53","",0.0040972143288963685,0,0,0,0,0.01602,17.070792273906513,"",8.535396136953256,0,21.33849034238314,0,0,8.535396136953256,532.7962632305404
"0xf38b07B8ac72Ad70806E902c2ecFb7EdD36cA3f5","",0.003746372095629341,18679.381282569215,16662.74449666176,1892.5318242854546,124.1049616220007,0.01602,15.609029621468425,"",0,0,19.511287026835532,0,0,19.511287026835532,1217.9330228985975
"0xE7026eaD5Ce701558Bdd20B85aD0F4A8C47F09e2","",0.0029940707954808072,6187.2515377299405,5294.27366995954,907.4978330991257,-14.519965328725448,0.01602,12.474612382991998,"",0,0,15.593265478739998,0,0,15.593265478739998,973.3623894344568
"0xAa560Ad63cde52ac6249C493642CBd3Dc7E0B7a2","",0.0026961274418613695,5726.2034062134235,4577.483184091399,1010.872888591428,137.8473335305962,0.01602,11.233249669023726,"",0,0,14.041562086279658,0,0,14.041562086279658,876.5020028888675
"0x752d5a59d9cD3ed8af87E0C8939D5d19Db168331","",0.0020918303609741918,415.9238582352,0,422.6868477660017,-6.76298953080169,0.01602,8.715482934977429,"",0,0,10.894353668721786,0,0,10.894353668721786,680.0470454882513
"0x1846622892AA7bfe5d7282643133Ad47823FF18e","",0.0020914410462427205,63208.94344638503,62233.27640275943,991.5315483973415,-15.864504771743668,0.01602,8.713860879020228,"",0,0,10.892326098775285,0,0,10.892326098775285,679.9204805727394
"0xf158da6Bd303ef5ef4C0dFC1472da400405dCEF3","",0.0019875837672044608,747.154643965027,697.6318901116164,0,49.52275385341068,0.01602,8.281145894087324,"",0,9.109260483496056,10.351432367609155,0,0,10.351432367609155,646.1568269418948
"0x9CED3bDC0e6ff65C3f072b0b5527184843Ed4eaf","",0.0017773331748177303,10964.717996726977,8579.3567152943,969.6720642338313,1415.6892171988457,0.01602,7.405149692769134,"",0,0,9.256437115961418,0,0,9.256437115961418,577.8050634183157
"0x77E395cCB0f042083F389404f3459DAD40B6D552","",0.0005653127410833323,1649.1484849510327,1372.5724320430327,281.07322451219954,-4.497171604199366,0.01602,2.355340872642533,"",0,0,2.944176090803166,0,0,2.944176090803166,183.78127907635243
"0xE7377048eDeec220187b3f3B3dCB8B621fE26EfB","",0.0005359499940638711,2357.746302570979,2091.7795456247864,260.42489732652064,5.541859619671868,0.01602,2.233002787611109,"",0,0,2.7912534845138866,0,0,2.7912534845138866,174.23554834668457
"0x71742CC139223c3AD78a5f63D518F3C792A3f4C6","",0.0005651402598974044,2167.691644126213,1240.6978317033986,155.3296524247747,771.6641599980396,0.01602,2.354622240357332,"",0,0,2.9432778004466646,3.1787400244823982,0,3.1787400244823982,198.42322250202236
